# ID	X	Y	width	height	angle	
154	4013.98	1455.87	23.9092	25.3692	178.167
155	4008.85	1181.79	35.3041	37.5169	167.881
156	4003.9	906.564	22.8935	25.3728	162.772
157	3996.98	635.725	31.0384	34.7461	156.404
158	3984.13	282.23	35.5928	37.0977	149.772
210	1645.1	2517.16	31.9043	37.1812	38.5969
211	1643.01	2143.03	21.5397	24.4733	24.8311
212	1642	1763.45	35.4177	38.0868	24.4947
213	1642.63	1403.54	35.0134	37.2236	178.902
214	1645.5	1031.05	23.0193	25.5163	170.943
215	1647.84	654.01	33.1614	36.9376	147.251
220	2919.93	2473.64	33.6859	36.0418	36.0394
221	2924.28	2127.22	19.9728	22.4716	33.3766
222	2926.03	1758.63	35.9906	37.6565	4.074
223	2926.25	1391.17	23.9497	25.2423	176.606
224	2922.78	1016.23	24.0962	25.7276	2.44538
225	2918.76	648.412	29.2574	33.2255	143.671
226	2911.64	308.647	32.9395	36.5265	147.816
310	783.859	2423.44	31.7805	35.2409	54.1237
311	780.773	2101.99	21.1103	23.2321	51.4978
312	779.202	1765.64	32.642	34.3658	66.6879
313	780.849	1441.46	33.3096	34.1303	81.3332
314	786.085	1093.06	23.249	24.5384	121.114
315	792.53	777.874	33.4273	36.4963	119.721
316	799.804	457.442	31.7605	36.6191	124.321
317	810.727	106.634	20.5606	24.8307	133.57
330	2194.41	2354.05	31.1982	32.8887	25.4888
331	2195.72	2077.09	20.2402	21.6737	22.6049
332	2194.91	1778.36	31.7242	32.8234	26.0764
333	2194.57	1480.12	31.4674	32.5376	10.9153
334	2195.7	1236.04	20.9132	21.7535	179.784
336	2194.62	751.037	32.4881	33.9761	153.923
337	2195.18	485.97	31.3469	33.1378	141.371
338	2193.95	165.602	20.0628	22.1144	151.18
340	2836.82	2318.52	28.3522	29.8192	35.7183
341	2838.44	2049.15	17.6699	19.9331	39.6077
342	2839.56	1755.78	26.6419	28.1812	22.4061
343	2838.52	1456.95	31.5198	32.5655	4.15791
344	2838.47	1219.55	32.2036	32.6488	147.065
345	2835.36	998.632	20.9164	21.6469	137.128
346	2832.15	774.819	31.9948	32.1988	97.8483
347	2829.1	481.263	30.2306	31.6563	138.984
348	2822.79	201.023	20.0011	21.1043	166.785
350	3528.79	2267.42	26.4858	29.1152	29.3409
351	3530.51	2020.91	15.0965	17.8154	20.1171
352	3531.52	1742.02	29.1782	30.3911	9.46563
353	3529.53	1461.83	29.3992	30.4905	11.0753
354	3527.4	1235.56	18.5412	20.2666	152.505
355	3523.64	1019.54	28.587	30.1787	158.697
356	3518.69	797.753	28.7766	30.1141	168.5
357	3511.72	526.17	28.3201	30.1313	148.6
358	3501.88	252.727	18.2606	20.2516	136.767
360	4055.75	2265.19	27.3686	28.8612	90.4634
361	4056.45	1998.31	16.7286	16.9159	68.0731
362	4057.03	1722.13	29.4579	30.1463	96.0901
