# ID	X	Y	width	height	angle	
432	1453.41	1526.05	30.8172	31.8211	4.51986
433	1464.45	1155.08	20.5404	21.4628	9.10937
434	1472.21	788.336	29.3839	30.7446	23.011
435	1486.28	429.513	20.7041	21.9525	12.1997
436	1480.1	181.371	21.3612	23.1814	40.4961
440	1825.58	2294.6	28.6827	30.4322	136.663
441	1857.28	1906.9	22.5072	23.3817	171.41
442	1837	1529.75	32.2659	32.7509	6.07228
443	1857.98	1153.92	21.7157	22.1899	39.8405
444	1858.27	781	30.0319	30.9268	47.4447
445	1858.85	414.94	21.6774	22.5855	44.4665
446	1837.98	178.403	21.3033	23.5135	47.8525
450	2201.91	2314.95	30.7179	31.7904	131.013
452	2220.16	1534.76	33.1881	33.6884	21.6414
453	2233.34	1152.97	22.2746	22.4251	61.0451
455	2246.46	403.963	22.4718	23.4611	72.627
456	2222.51	151.691	22.885	23.6705	52.5393
460	2585.42	2329.95	33.4491	34.4015	127.243
461	2603.05	1930.08	23.6341	23.709	127.418
462	2604.59	1539.92	33.5945	33.7732	25.3185
463	2614.62	1153.76	22.5821	22.9654	40.8457
464	2615.79	769.579	31.3093	32.0055	76.8454
465	2617.59	395.385	23.1655	23.7155	69.4517
466	2603.07	152.105	48.6914	50.9873	68.2255
470	3016.5	2345.36	32.1475	32.6698	114.696
471	3009.26	1939.66	21.5963	21.894	90.1945
472	3015.49	1547.15	31.972	32.5911	99.6439
473	3005.02	1155.62	21.2254	21.8873	94.3704
474	3000.5	768.615	31.1235	31.5014	92.8784
475	2993.09	389.64	20.8666	21.7056	83.8093
476	2986.15	124.32	24.4892	25.5662	96.8612
480	3395.43	2356.19	32.4487	32.941	97.923
481	3392.11	1947.24	21.9205	22.0942	105.893
482	3392.07	1551.48	32.4354	32.5015	61.648
483	3387.61	1157.23	21.4696	21.876	134.91
484	3397.84	768.513	31.2274	32.1581	103.743
485	3398.49	383.422	20.9721	21.9633	94.0982
486	3393.18	123.446	24.6541	25.8391	93.331
490	3798.68	2365.88	31.9795	32.858	96.8737
491	3806.73	1955.6	20.2447	20.8753	41.291
492	3800.92	1556.83	33.5458	33.9377	117.968
493	3797.73	1161.27	22.5519	22.9544	114.424
494	3774.41	767.557	32.549	33.2179	109.305
495	3760.96	380.156	22.2358	22.379	92.2772
496	3767.32	107.829	49.4802	52.1434	87.633
500	4193.45	2376.93	33.832	35.477	111.776
501	4196.91	1962.98	21.2901	21.6627	105.902
502	4202.78	1563.49	33.4615	34.3041	92.3121
503	4201.12	1163.5	22.7043	23.6161	108.278
504	4198.47	768.583	32.863	34.3297	99.0657
505	4197.68	377.648	22.5489	23.3637	88.0229
506	4212.08	105.374	40.6709	43.1432	70.7985
